STATION,NAME,YEAR,MONTH,DAY,TMAX,TMIN,TOT_DAY
USW00023062,"DENVER STAPLETON, CO US",1948,3,29,65,43,89
USW00023062,"DENVER STAPLETON, CO US",1948,3,30,58,27,90
USW00023062,"DENVER STAPLETON, CO US",1948,3,31,43,22,91
USW00023062,"DENVER STAPLETON, CO US",1948,4,1,57,31,92
USW00023062,"DENVER STAPLETON, CO US",1948,4,2,68,28,93
USW00023062,"DENVER STAPLETON, CO US",1948,4,3,68,42,94
USW00023062,"DENVER STAPLETON, CO US",1948,4,4,64,40,95
USW00023062,"DENVER STAPLETON, CO US",1948,4,5,66,32,96
USW00023062,"DENVER STAPLETON, CO US",1948,4,6,66,30,97
USW00023062,"DENVER STAPLETON, CO US",1948,4,7,57,31,98
USW00023062,"DENVER STAPLETON, CO US",1948,4,8,62,25,99
USW00023062,"DENVER STAPLETON, CO US",1948,4,9,69,32,100
USW00023062,"DENVER STAPLETON, CO US",1948,4,10,76,42,101
USW00023062,"DENVER STAPLETON, CO US",1948,4,11,47,31,102
USW00023062,"DENVER STAPLETON, CO US",1948,4,12,53,28,103
USW00023062,"DENVER STAPLETON, CO US",1948,4,13,62,28,104
USW00023062,"DENVER STAPLETON, CO US",1948,4,14,71,34,105
USW00023062,"DENVER STAPLETON, CO US",1948,4,15,74,45,106
USW00023062,"DENVER STAPLETON, CO US",1948,4,16,74,43,107
USW00023062,"DENVER STAPLETON, CO US",1948,4,17,81,45,108
USW00023062,"DENVER STAPLETON, CO US",1948,4,18,80,46,109
USW00023062,"DENVER STAPLETON, CO US",1948,4,19,66,34,110
USW00023062,"DENVER STAPLETON, CO US",1948,4,20,69,32,111
USW00023062,"DENVER STAPLETON, CO US",1948,4,21,74,44,112
USW00023062,"DENVER STAPLETON, CO US",1948,4,22,74,43,113
USW00023062,"DENVER STAPLETON, CO US",1948,4,23,68,43,114
USW00023062,"DENVER STAPLETON, CO US",1948,4,24,45,32,115
USW00023062,"DENVER STAPLETON, CO US",1948,4,25,58,32,116
USW00023062,"DENVER STAPLETON, CO US",1948,4,26,55,33,117
USW00023062,"DENVER STAPLETON, CO US",1948,4,27,66,33,118
USW00023062,"DENVER STAPLETON, CO US",1948,4,28,76,41,119
USW00023062,"DENVER STAPLETON, CO US",1948,4,29,83,51,120
USW00023062,"DENVER STAPLETON, CO US",1948,4,30,70,43,121
USW00023062,"DENVER STAPLETON, CO US",1948,5,1,58,42,122
USW00023062,"DENVER STAPLETON, CO US",1948,5,2,61,41,123
USW00023062,"DENVER STAPLETON, CO US",1948,5,3,60,37,124
USW00023062,"DENVER STAPLETON, CO US",1948,5,4,70,40,125
USW00023062,"DENVER STAPLETON, CO US",1948,5,5,57,33,126
USW00023062,"DENVER STAPLETON, CO US",1948,5,6,70,31,127
USW00023062,"DENVER STAPLETON, CO US",1948,5,7,82,45,128
USW00023062,"DENVER STAPLETON, CO US",1948,5,8,78,45,129
USW00023062,"DENVER STAPLETON, CO US",1948,5,9,52,33,130
USW00023062,"DENVER STAPLETON, CO US",1948,5,10,56,31,131
USW00023062,"DENVER STAPLETON, CO US",1948,5,11,50,35,132
USW00023062,"DENVER STAPLETON, CO US",1948,5,12,59,33,133
USW00023062,"DENVER STAPLETON, CO US",1948,5,13,77,38,134
USW00023062,"DENVER STAPLETON, CO US",1948,5,14,84,51,135
USW00023062,"DENVER STAPLETON, CO US",1948,5,15,78,46,136
USW00023062,"DENVER STAPLETON, CO US",1948,5,16,79,43,137
USW00023062,"DENVER STAPLETON, CO US",1948,5,17,88,51,138
USW00023062,"DENVER STAPLETON, CO US",1948,5,18,85,54,139
USW00023062,"DENVER STAPLETON, CO US",1948,5,19,83,58,140
USW00023062,"DENVER STAPLETON, CO US",1948,5,20,85,57,141
USW00023062,"DENVER STAPLETON, CO US",1948,5,21,80,55,142
USW00023062,"DENVER STAPLETON, CO US",1948,5,22,86,47,143
USW00023062,"DENVER STAPLETON, CO US",1948,5,23,79,50,144
USW00023062,"DENVER STAPLETON, CO US",1948,5,24,70,50,145
USW00023062,"DENVER STAPLETON, CO US",1948,5,25,68,50,146
USW00023062,"DENVER STAPLETON, CO US",1948,5,26,72,45,147
USW00023062,"DENVER STAPLETON, CO US",1948,5,27,74,47,148
USW00023062,"DENVER STAPLETON, CO US",1948,5,28,74,51,149
USW00023062,"DENVER STAPLETON, CO US",1948,5,29,75,46,150
